gene_name,log_fc,ave_expr,t,p_value,adj_p_val,b
NLRP3,4.309876016,6.89022833799999,14.24344968,9.4e-14,1.44e-12,21.49689913
ARHGAP30,4.30932326199999,6.947286386,17.42881632,8.19e-16,2.58e-14,26.22347017
CARD9,4.308985583,5.945899597,12.16369151,3.34e-12,3.39e-11,17.96395842
TRIM22,4.303328247,8.041729902,14.17091388,1.06e-13,1.61e-12,21.33560555
SOAT1,4.302130137,7.24758212899999,18.99047695,1.04e-16,4.27999999999999e-15,28.26718663
CHEK2,4.298396252,3.005723693,9.63870093,4.78e-10,2.78e-9,13.07346129
DSC2,4.295192535,4.944786548,8.284722599,9.49999999999999e-9,4.03e-8,10.12404173
ZNF217,4.293166192,6.418200307,16.33889876,3.81e-15,9.46e-14,24.69319717
PPP4R1L,4.29237184,2.55006155599999,8.119778291,1.38999999999999e-8,5.65e-8,9.813247297
HK2,4.289845466,7.542091252,15.35402903,1.64e-14,3.28999999999999e-13,23.22207758
P2RY13,4.281206205,8.348610079,13.02466968,7.22999999999999e-13,8.75e-12,19.3852054999999
LOC102724163,4.28057672,0.45674187,5.884102966,3.39e-6,8.3e-6,4.534492202
ADAMTSL4,4.280145031,5.17933086,9.01207681,1.85e-9,9.27e-9,11.73542598
CD53,4.279463485,8.453346593,18.11256655,3.25999999999999e-16,1.15e-14,27.13788059
RNASEH2B-AS1,4.277501179,1.242028079,6.067181268,2.12e-6,5.39e-6,4.97902435
LOC101927865,4.269872611,0.377735517,4.660907993,8.32e-5,1.59336e-4,1.51163471
HCK,4.268549116,6.97434685,16.39664921,3.5e-15,8.83e-14,24.77966438
OLR1,4.263775696,9.155004394,12.39798604,2.18e-12,2.34e-11,18.26132104
STEAP3,4.263245113,4.770373729,5.305831454,1.53e-5,3.32e-5,2.800033643
CARD14,4.258663594,4.04869008399999,4.357089713,1.85102e-4,3.36256999999999e-4,0.461646025
NLRC4,4.258561318,3.927335088,9.035704101,1.76e-9,8.84e-9,11.83020294
RNASE6,4.25612986,5.74491837,8.747092956,3.32999999999999e-9,1.58e-8,11.06037963
LIPG,4.25447273,3.589204895,2.387891804,0.024542094,0.032266415,-4.122087363
ADAP2,4.252908957,7.33285595299999,16.55864178,2.77e-15,7.26e-14,25.00731983
IL1B,4.250880916,6.76901263,5.24771405,1.78e-5,3.82e-5,2.256875912
CC2D2B,4.243749602,2.628571483,6.277727257,1.24e-6,3.3e-6,5.462243419
CABP4,4.237827027,3.17740191199999,9.415808684,7.68999999999999e-10,4.26e-9,12.62704086
DISP1,4.236914182,5.894263356,11.56286548,1.02e-11,9.15e-11,16.86026972
WNT5A,4.236543082,6.149154366,7.812386167,2.85e-8,1.08e-7,8.87171294
TRPM2-AS,4.23541283,2.629401424,6.352396172,1.02e-6,2.78e-6,5.643006689
TYMP,4.234940458,6.002183481,4.46249793899999,1.40306e-4,2.59947e-4,0.324814142
ZBTB37,4.231535237,2.7134068,3.771783465,8.50868e-4,0.001389536,-0.882725688
LOC102724360,4.230915433,2.441209659,5.753862807,4.75e-6,1.13e-5,4.163863997
TNFRSF1B,4.23078608,8.305840753,15.86936933,7.57e-15,1.67e-13,23.9846581
IRF8,4.227222843,7.831889319,15.01322046,2.78e-14,5.16e-13,22.68551713
PTPN6,4.224084926,7.054734763,13.54141658,2.99e-13,3.99e-12,20.31679016
CYP2S1,4.223811785,2.872197876,7.114393398,1.53e-7,4.96e-7,7.48203884899999
LAT2,4.220603626,7.481114953,14.82139038,3.74e-14,6.63e-13,22.39230025
ARHGAP9,4.219564714,6.314144722,13.58337585,2.78999999999999e-13,3.75e-12,20.42274116
OSCAR,4.219244574,4.628127162,6.290591574,1.2e-6,3.21e-6,5.320519375
KCNE3,4.218974264,4.86020944199999,10.70945049,5.31e-11,4e-10,15.26097903
CX3CR1,4.215826266,10.17298748,9.770461098,3.62e-10,2.17e-9,13.10306758
FAM105A,4.215312526,7.31393126,16.38815159,3.54e-15,8.9e-14,24.76239526
TBX19,4.212359358,2.762842435,8.930473791,2.21e-9,1.09e-8,11.58228709
RPL23AP64,4.211436645,2.603325273,5.055525848,2.94e-5,6.07e-5,2.372022284
ST14,4.207317259,3.123881253,3.205977683,0.003564274,0.00526889,-2.292519665
RNVU1-4,4.205745179,-1.068977782,5.691027022,5.59e-6,1.31e-5,4.051208723
LOC105371414,4.204951009,3.088479035,4.42124305,1.56385e-4,2.87144e-4,0.721676014
SP100,4.202995652,6.805899446,17.11042305,1.27e-15,3.76e-14,25.78621825
LILRA4,4.202422519,4.645401402,4.102344737,3.60770999999999e-4,6.26776e-4,-0.324957251
TIFA,4.201312412,3.792416975,4.166252282,3.05276e-4,5.35276e-4,-0.021571412
SFMBT2,4.198488514,8.700769134,16.40863364,3.44e-15,8.69e-14,24.77538811
KCNQ1,4.19709255699999,5.78953701299999,11.84480795,5.99999999999999e-12,5.70999999999999e-11,17.38806294
PSORS1C3,4.195518609,-0.069742561,3.065994235,0.005029194,0.007288154,-2.300027454
CYTL1,4.19493724699999,3.469410101,3.826729652,7.38378e-4,0.001219428,-0.848871725
LINC01141,4.192495293,5.64433277299999,8.741056093,3.37999999999999e-9,1.59e-8,11.07076291
GALNT4,4.191298472,4.954904743,8.90768057899999,2.33e-9,1.14e-8,11.50724895
TMEM119,4.184194315,8.63637551,13.45155158,3.48e-13,4.57e-12,20.11880634
RNVU1-20,4.182514545,-1.091345842,5.35591048,1.34e-5,2.94e-5,3.23914069899999
ZNF600,4.178567794,3.031963287,7.921331789,2.21e-8,8.57e-8,9.363446155
C19orf38,4.176670698,4.047559288,8.4588993,6.38e-9,2.81999999999999e-8,10.55477697
ATP7A,4.174628596,5.76226947799999,13.27002098,4.74e-13,6.01e-12,19.91510926
IL2RG,4.169399132,3.044285516,7.344130062,8.74e-8,2.98e-7,8.017785982
LINC00921,4.166654255,2.48163702699999,4.932958869,4.06e-5,8.18e-5,2.077273614
LRRC37A6P,4.162066376,5.574453462,8.045212484,1.65e-8,6.61e-8,9.488359196
GSN-AS1,4.159783687,5.576649463,6.234274932,1.38e-6,3.65e-6,4.986405584
IL4I1,4.15612525,3.510570283,3.775855097,8.41985e-4,0.001376527,-0.982246370999999
RTTN,4.153074967,6.501582254,7.756790798,3.25e-8,1.21999999999999e-7,8.642927987
CARD6,4.150326413,4.296664376,10.61160489,6.45e-11,4.73e-10,15.06700766
NCF1C,4.149517832,1.64865903699999,7.41835416,7.29999999999999e-8,2.53e-7,8.204121589
GLUD1P3,4.149348539,2.179528697,6.88189431299999,2.71e-7,8.32e-7,6.943433452
ITPRIPL1,4.144075459,2.083549024,6.229917001,1.4e-6,3.68e-6,5.355997539
LINC00865,4.141228812,5.106613183,7.721247288,3.54e-8,1.32e-7,8.78822146
LOC101927051,4.139629633,4.631630959,10.57748555,6.91e-11,5.01e-10,15.00242814
DOK3,4.135454307,5.719468122,9.745617582,3.81e-10,2.28e-9,13.24457077
ALOX5AP,4.131813566,6.929673845,10.79787858,4.45e-11,3.42e-10,15.26492728
RREB1,4.129777429,6.72387090799999,17.80492963,4.91e-16,1.66e-14,26.72258877
DEF6,4.123000958,6.559292496,13.92193344,1.59e-13,2.32e-12,20.97176704
HFE,4.11815586,3.50125250399999,8.840972253,2.7e-9,1.31e-8,11.41085372
NLRP1,4.109001702,7.243298327,9.380107997,8.3e-10,4.57e-9,12.28312512
SERPINB9,4.10571676399999,8.601311008,15.30957886,1.76e-14,3.48999999999999e-13,23.13345423
MAP4K1,4.102259266,4.719345832,13.22070041,5.16e-13,6.49999999999999e-12,19.78701686
EDA2R,4.098193388,2.083943336,3.110348093,0.004511784,0.0065841,-2.415880266
NCK1-AS1,4.096571387,3.480852196,6.598092412,5.5e-7,1.58e-6,6.188518775
SLC16A3,4.095996769,7.315645182,10.5047541,7.99e-11,5.71e-10,14.65222383
GAL3ST4,4.088815295,7.990403374,13.81526549,1.88999999999999e-13,2.68999999999999e-12,20.7428988999999
IGF2BP3,4.088359421,2.808123044,4.458098731,1.41939e-4,2.62814e-4,0.820958484
KYNU,4.088284902,1.54871993,3.149118024,0.004101648,0.006019143,-2.252188361
FLJ32255,4.081851285,3.002868655,8.20824717899999,1.12999999999999e-8,4.73e-8,10.01450257
DPYS,4.08162400899999,2.398637957,3.086772518,0.004780104,0.006948462,-2.47992342699999
CASP1,4.079649296,5.273296756,9.239844222,1.11999999999999e-9,5.97e-9,12.19381075
ABI3,4.078429107,6.261867366,11.00638575,2.96e-11,2.39e-10,15.73077859
C5AR1,4.075672442,6.594949047,7.19959252,1.24e-7,4.1e-7,7.28691362299999
LYZ,4.07099517699999,4.541472514,2.532498641,0.017738528,0.023784127,-4.04247178
CCL20,4.069935731,0.612438211,3.60373396699999,0.00130953,0.002070557,-1.107944117
PUS10,4.06989076,3.885084857,6.726425256,3.98999999999999e-7,1.18e-6,6.489072051
OXER1,4.06428212899999,3.573904335,7.841154909,2.67e-8,1.01999999999999e-7,9.166576164
TREM2,4.062999775,7.481996386,9.206556099,1.21e-9,6.37e-9,11.87729608
SAMD9L,4.062290008,6.599432081,8.156672982,1.28e-8,5.23e-8,9.573291119
CFLAR-AS1,4.062090981,2.494081198,6.68340518,4.44e-7,1.3e-6,6.452936347
IRAK2,4.05993349,5.616215003,5.343337368,1.38e-5,3.02999999999999e-5,2.704995892
RCN3,4.05713384,6.237723393,12.58503941,1.56e-12,1.73e-11,18.70306131
FOLR2,4.052316662,6.930066966,8.97362094799999,2.01e-9,1e-8,11.41653013
DTX2P1-UPK3BP1-PMS2P11,4.05165069,1.85463817199999,6.689756391,4.37e-7,1.29e-6,6.48250231399999
WNT2B,4.04822895899999,4.129569215,4.714867119,7.21999999999999e-5,1.39612e-4,1.347196047
HCLS1,4.045929206,7.82577549299999,12.27266086,2.74e-12,2.87e-11,18.0407607
HLA-DMA,4.045871355,6.430406182,5.20102807,2.01e-5,4.29e-5,2.161853514
HTR2B,4.045587598,1.518061339,2.620522479,0.014501202,0.019698869,-3.417884098
STX11,4.044964311,3.499306854,4.411625405,1.60388999999999e-4,2.94055e-4,0.614258524
HPGDS,4.037167996,4.805461941,8.443735245,6.6e-9,2.92e-8,10.46287142
PPP1R3B,4.036556108,4.401454085,5.887266151,3.36e-6,8.24e-6,4.322155587
LOC100131626,4.03617550899999,1.501421419,7.180374555,1.3e-7,4.27999999999999e-7,7.64527562899999
SPP1,4.032126391,11.47866669,9.467808739,6.88e-10,3.86e-9,12.51764026
MYOF,4.0286630039999896,6.458294746,16.81511783,1.93e-15,5.36e-14,25.3729792
DDI2,4.028416044,3.961719868,5.363689494,1.31e-5,2.88999999999999e-5,3.027036499
B4GALT1,4.02776595399999,7.675059961,16.50163669,3.01e-15,7.76e-14,24.91704003
LOC101928126,4.02751319899999,1.294416448,5.575422193,7.54e-6,1.73e-5,3.75501070399999
FERMT3,4.023421624,6.759565068,11.73454603,7.37e-12,6.87e-11,17.09461918
LILRA6,4.019938647,1.203772929,2.811377844,0.00928174,0.012971028,-2.98848226699999
IER3,4.018493443,7.584490154,9.606996502,5.11e-10,2.97e-9,12.74341481
LOC101928020,4.011648484,2.014219285,5.65053996899999,6.21e-6,1.44999999999999e-5,3.911013778
LTB4R2,4.011557878,2.681430544,6.743796885,3.82e-7,1.14e-6,6.59279613
PDE3B,4.008013285,6.78366487399999,11.40077307,1.38e-11,1.21e-10,16.47047491
ST6GAL1,4.006381645,10.10128172,23.24858832,7.34999999999999e-19,8.69e-17,33.14941408
ZNF141,4.00400301399999,2.41142671,5.18673231,2.09e-5,4.42999999999999e-5,2.708719349
TMIGD3,4.003858325,7.539839195,10.8356451999999,4.13e-11,3.2e-10,15.29795741
TMEM52B,4.000104554,4.871313507,8.772424399,3.15e-9,1.5e-8,11.19235087
PLAC8,3.999393913,1.148285795,3.914461387,5.8834e-4,9.87282e-4,-0.410679747999999
ZNF888,3.998724185,2.6192804180000002,7.16610343799999,1.35e-7,4.42e-7,7.60874675399999
CD58,3.997002768,4.007306519,8.150772667,1.29e-8,5.3e-8,9.856914516
LY96,3.99591921,3.059942932,6.27900045,1.23e-6,3.29e-6,5.42257255299999
DUSP27,3.995029145,2.790549293,4.264182207,2.36212999999999e-4,4.21816e-4,0.326443632
ITPRIPL2,3.993402948,7.703254294,20.65418347,1.35e-17,8.73e-16,30.29928952
FUT4,3.991419433,5.232341943,11.22055189,1.95e-11,1.64e-10,16.23606086
ENTPD1-AS1,3.987704503,3.322385937,10.44320391,9.05e-11,6.38e-10,14.70871055
MX2,3.987462123,4.80626011,3.24824881399999,0.003209371,0.00477697299999999,-2.492466061
CLCN5,3.986389745,5.975854141,9.363363974,8.60999999999999e-10,4.71e-9,12.39041767
PAG1,3.98327913,8.348797255,18.50990783,1.93e-16,7.35e-15,27.65871114
SFXN2,3.981821018,5.021946351,12.02858764,4.26999999999999e-12,4.22e-11,17.74363047
MERTK,3.979172266,8.79230766399999,14.80139524,3.86e-14,6.77999999999999e-13,22.33913322
LOC102724050,3.977898738,1.088017324,6.628961449,5.09e-7,1.48e-6,6.339615625
SPNS3,3.976173748,4.6688191,4.869519973,4.8e-5,9.55999999999999e-5,1.619213385
LRMP,3.97558103399999,6.307153011,15.75449082,8.99e-15,1.93e-13,23.84533459
HIST1H2AE,3.97257473,1.117153295,3.953533774,5.31591e-4,8.97191e-4,-0.304657212
IFI16,3.970794446,7.62098207,16.5358419,2.87e-15,7.42e-14,24.96547347
TTF2,3.96828325399999,4.27964835,9.937406875,2.55e-10,1.59e-9,13.7175622
APOBEC3G,3.963923263,3.964809577,9.071011215,1.63e-9,8.26e-9,11.90031822
ARHGAP27,3.96318476,7.963323677,23.63112494,4.91e-19,6.42e-17,33.55950854
KCNMB1,3.96209375399999,3.948663502,7.371390001,8.17999999999999e-8,2.81e-7,8.035376925
LOC102724265,3.961690382,4.148021429,3.98838406199999,4.85546e-4,8.25481e-4,-0.552650709
HIST1H2AD,3.959249218,-0.343368677,3.819528588,7.52243999999999e-4,0.001240497,-0.538182099
RNU5A-1,3.95604807699999,-1.469838641,4.568502356,1.06147999999999e-4,1.99974e-4,1.313103428
TNFAIP3,3.953348692,6.604487982,9.15274792,1.36e-9,7.04999999999999e-9,11.84964214
TNFRSF10D,3.947176677,5.425819838,7.340039364,8.83e-8,3e-7,7.803522926
P2RY12,3.94483703199999,10.15937892,13.71189938,2.25e-13,3.12999999999999e-12,20.58241033
CARD8-AS1,3.944584861,2.808098346,9.837426205,3.13999999999999e-10,1.92e-9,13.48075741
GNGT2,3.944033252,2.103698274,9.88915903899999,2.82e-10,1.73999999999999e-9,13.5277620999999
IFNGR1,3.929921941,9.543514606,13.77484652,2.03e-13,2.86e-12,20.67364181
KBTBD8,3.925037635,4.494179096,4.823919651,5.42e-5,1.06779e-4,1.548689847
HK3,3.923514435,3.584760621,3.65848440899999,0.00113842,0.00181952,-1.305363478
SOWAHD,3.92065685399999,2.827007901,5.23705223,1.83e-5,3.92e-5,2.78851709699999
LCP1,3.919794959,8.154673486,13.79219755,1.96999999999999e-13,2.79e-12,20.69560556
POC1B-GALNT4,3.918149311,5.021362767,8.85521207299999,2.62e-9,1.27e-8,11.36454127
INPP5D,3.91282023,9.048123978,16.23148345,4.45e-15,1.08e-13,24.51626306
ODF3B,3.909943255,3.69219805199999,2.77535128399999,0.010106649,0.014040881,-3.40388884199999
ZFHX3,3.90863098,8.385316932,15.51857607,1.28e-14,2.63e-13,23.45176454
HLA-DQA1,3.90336429399999,4.138991399,2.426422805,0.022526476,0.029788316,-4.21558773199999
NFKBID,3.895923742,6.298570268,5.445555021,1.06e-5,2.37e-5,2.814290791
SUMO4,3.8941616,1.024893877,7.06423512799999,1.73e-7,5.55e-7,7.368060257
HIST1H4E,3.88947847899999,0.811194784,3.594102861,0.001342122,0.002118126,-1.164025152
FYB,3.889369211,8.521792117,13.8878079999999,1.68e-13,2.42e-12,20.85203729
C10orf128,3.886019881,5.255762068,7.629374029,4.4e-8,1.61e-7,8.487737085
PLAU,3.88302071899999,4.307321687,3.070084873,0.004979194,0.007219948,-2.801969428
IL17RA,3.882143061,8.557370471,21.27528114,6.53e-18,4.92999999999999e-16,31.02287666
APBB1IP,3.88093342,8.557258707,14.15244169,1.09e-13,1.65e-12,21.28998714
MYC,3.880558138,5.203803823,5.054370816,2.95e-5,6.08999999999999e-5,2.057097471
GIMAP8,3.88043485899999,6.49360640399999,8.418439668,6.99e-9,3.07e-8,10.18880497
CD1D,3.879394853,1.765909116,3.480504947,0.00179152399999999,0.00277468599999999,-1.529032633
PCED1B,3.879015053,5.304775481,9.485713466,6.62e-10,3.73e-9,12.70249267
CASP8,3.87636953899999,4.790089123,11.44393817,1.26999999999999e-11,1.12e-10,16.66675643
TGFBR2,3.873716965,8.5696169,15.64900383,1.05e-14,2.21e-13,23.64847729
POMK,3.87362491,3.162075347,4.195213468,2.82995e-4,4.98553e-4,0.08868938
SUSD6,3.873420016,8.659975509,17.77567535,5.11e-16,1.7e-14,26.68526609
IL15RA,3.869447834,2.952302751,5.992624356,2.56e-6,6.41e-6,4.706837593
MR1,3.86755584,5.643530769,11.16660064,2.17e-11,1.81e-10,16.09440476
LRRK1,3.866968311,7.617882145,14.64810017,4.92e-14,8.37e-13,22.10729727
TMEM86A,3.85594766699999,6.268493892,8.575496162,4.9e-9,2.23e-8,10.5722548
HACD4,3.855175676,5.038952773,6.80200728299999,3.3e-7,9.95999999999999e-7,6.513908852
MLKL,3.841465878,4.908375913,6.535482965,6.44e-7,1.82e-6,5.856530671
PLK3,3.840232742,6.580024227,9.228654047,1.15e-9,6.1e-9,11.98843652
RUBCNL,3.838899296,6.301446415,11.11549581,2.38999999999999e-11,1.97e-10,15.94252888
CD83,3.838246958,7.816588395,7.720848048,3.54e-8,1.32e-7,8.42082003
HLA-DRB6,3.832238194,4.912972551,2.641068673,0.013829361,0.018850836,-3.946724665
IL13RA1,3.822249902,8.60687259799999,13.79054142,1.96999999999999e-13,2.79e-12,20.68877099
ELF1,3.817932732,7.13595081,15.9613565999999,6.61e-15,1.48e-13,24.13403709
ZNF460,3.81610752699999,4.298156737,3.38933522,0.002255115,0.00343687099999999,-2.056073493
GPR160,3.813420375,3.346426041,7.235659864,1.14e-7,3.79e-7,7.744377831
UNC93B1,3.812573796,7.331333896,14.21648633,9.82e-14,1.51e-12,21.41522322
JAK2,3.81155918,6.444915986,19.55143081,5.13e-17,2.37e-15,28.93919858
DPP4,3.80865008,2.816162554,3.010546191,0.005756108,0.008268525,-2.739738718
OLFML3,3.807405694,8.061540384,13.9185903,1.6e-13,2.33e-12,20.90572378
LYL1,3.80544207,6.120429134,9.584995827,5.36e-10,3.08e-9,12.79907771
HLA-DPA1,3.80348344199999,7.95770865,5.273768344,1.66e-5,3.59e-5,2.207720824
MRC2,3.800670512,7.88176758299999,13.89697095,1.66e-13,2.4e-12,20.87358855
ANG,3.797145598,1.685010209,5.65682326899999,6.1e-6,1.42e-5,3.940923248
FKBP5,3.792205275,7.17965965899999,3.444314913,0.001963257,0.003020509,-2.421476727
CD68,3.791739254,8.740198453,12.38518451,2.24e-12,2.38999999999999e-11,18.23075427
ACRBP,3.790007718,2.80702795,5.080196477,2.76e-5,5.73e-5,2.379581655
TLDC2,3.788696059,4.947889908,8.19031301,1.18e-8,4.9e-8,9.86389628399999
ERAP2,3.788305827,4.892690245,5.774984698,4.49e-6,1.07e-5,3.923000687
GIMAP2,3.785901644,4.660776578,8.036088134,1.69e-8,6.73e-8,9.519761584
GMIP,3.785233258,7.441416376,17.9827531,3.87e-16,1.35e-14,26.96745778
UBR5-AS1,3.784510347,2.00386852,3.662431776,0.001126965,0.001802617,-1.103249914
DENND3,3.782505041,9.024154002,20.64468778,1.36e-17,8.77e-16,30.29363254
CD4,3.78167494,8.819857208,17.80884764,4.89e-16,1.66e-14,26.72995182
APOBEC3F,3.78102576899999,3.53879393399999,6.998662645,2.03e-7,6.38999999999999e-7,7.14954710899999
HAMP,3.775724733,3.706083741,2.725583808,0.011360293,0.01567983,-3.505767858
ATM,3.77383307399999,8.839059432,15.08842418,2.47e-14,4.66e-13,22.78813793
LIPC,3.769079432,2.094294264,7.047309571,1.8e-7,5.76e-7,7.33332234
TMIGD2,3.763688318,4.558928816,6.58892207799999,5.62999999999999e-7,1.61e-6,6.027349735
